Date,Hour,Price
2023-09-05T22:00Z,1,88.89
2023-09-05T22:00Z,2,85.52
2023-09-05T22:00Z,3,80.27
2023-09-05T22:00Z,4,76.50
2023-09-05T22:00Z,5,74.24
2023-09-05T22:00Z,6,83.96
2023-09-05T22:00Z,7,113.92
2023-09-05T22:00Z,8,137.72
2023-09-05T22:00Z,9,119.19
2023-09-05T22:00Z,10,97.73
2023-09-05T22:00Z,11,88.65
2023-09-05T22:00Z,12,82.10
2023-09-05T22:00Z,13,75.31
2023-09-05T22:00Z,14,76.43
2023-09-05T22:00Z,15,75.48
2023-09-05T22:00Z,16,82.50
2023-09-05T22:00Z,17,91.44
2023-09-05T22:00Z,18,105.87
2023-09-05T22:00Z,19,145.83
2023-09-05T22:00Z,20,184.97
2023-09-05T22:00Z,21,166.04
2023-09-05T22:00Z,22,123.13
2023-09-05T22:00Z,23,105.50
2023-09-05T22:00Z,24,95.72
