Date,Hour,Price
2023-08-08T22:00Z,1,82.48
2023-08-08T22:00Z,2,74.70
2023-08-08T22:00Z,3,71.74
2023-08-08T22:00Z,4,68.67
2023-08-08T22:00Z,5,74.12
2023-08-08T22:00Z,6,83.95
2023-08-08T22:00Z,7,98.16
2023-08-08T22:00Z,8,105.70
2023-08-08T22:00Z,9,106.44
2023-08-08T22:00Z,10,99.63
2023-08-08T22:00Z,11,88.90
2023-08-08T22:00Z,12,55.00
2023-08-08T22:00Z,13,80.19
2023-08-08T22:00Z,14,68.13
2023-08-08T22:00Z,15,8.62
2023-08-08T22:00Z,16,80.32
2023-08-08T22:00Z,17,70.44
2023-08-08T22:00Z,18,68.73
2023-08-08T22:00Z,19,95.05
2023-08-08T22:00Z,20,118.73
2023-08-08T22:00Z,21,127.26
2023-08-08T22:00Z,22,131.14
2023-08-08T22:00Z,23,122.47
2023-08-08T22:00Z,24,100.96
2023-08-09T22:00Z,1,82.48
2023-08-09T22:00Z,2,74.70
2023-08-09T22:00Z,3,71.74
2023-08-09T22:00Z,4,68.67
2023-08-09T22:00Z,5,74.12
2023-08-09T22:00Z,6,83.95
2023-08-09T22:00Z,7,98.16
2023-08-09T22:00Z,8,105.70
2023-08-09T22:00Z,9,106.44
2023-08-09T22:00Z,10,99.63
2023-08-09T22:00Z,11,88.90
2023-08-09T22:00Z,12,55.00
2023-08-09T22:00Z,13,80.19
2023-08-09T22:00Z,14,68.13
2023-08-09T22:00Z,15,8.62
2023-08-09T22:00Z,16,80.32
2023-08-09T22:00Z,17,70.44
2023-08-09T22:00Z,18,68.73
2023-08-09T22:00Z,19,95.05
2023-08-09T22:00Z,20,118.73
2023-08-09T22:00Z,21,127.26
2023-08-09T22:00Z,22,131.14
2023-08-09T22:00Z,23,122.47
2023-08-09T22:00Z,24,100.96
2023-08-10T22:00Z,1,111.24
2023-08-10T22:00Z,2,106.27
2023-08-10T22:00Z,3,104.03
2023-08-10T22:00Z,4,90.41
2023-08-10T22:00Z,5,84.74
2023-08-10T22:00Z,6,82.02
2023-08-10T22:00Z,7,104.00
2023-08-10T22:00Z,8,114.88
2023-08-10T22:00Z,9,114.98
2023-08-10T22:00Z,10,100.93
2023-08-10T22:00Z,11,87.66
2023-08-10T22:00Z,12,77.16
2023-08-10T22:00Z,13,34.18
2023-08-10T22:00Z,14,19.48
2023-08-10T22:00Z,15,27.05
2023-08-10T22:00Z,16,58.01
2023-08-10T22:00Z,17,84.58
2023-08-10T22:00Z,18,97.98
2023-08-10T22:00Z,19,108.16
2023-08-10T22:00Z,20,121.57
2023-08-10T22:00Z,21,138.87
2023-08-10T22:00Z,22,131.31
2023-08-10T22:00Z,23,118.56
2023-08-10T22:00Z,24,104.16
2023-08-11T22:00Z,1,103.54
2023-08-11T22:00Z,2,98.19
2023-08-11T22:00Z,3,97.63
2023-08-11T22:00Z,4,94.93
2023-08-11T22:00Z,5,93.91
2023-08-11T22:00Z,6,95.05
2023-08-11T22:00Z,7,94.20
2023-08-11T22:00Z,8,99.45
2023-08-11T22:00Z,9,102.05
2023-08-11T22:00Z,10,89.29
2023-08-11T22:00Z,11,78.69
2023-08-11T22:00Z,12,67.46
2023-08-11T22:00Z,13,52.04
2023-08-11T22:00Z,14,24.64
2023-08-11T22:00Z,15,6.00
2023-08-11T22:00Z,16,6.92
2023-08-11T22:00Z,17,20.40
2023-08-11T22:00Z,18,67.58
